,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
64,Esperance,16.0,AU,2020-01-26 14:57:30,86.0,-33.87,121.9,67.6,8.43
65,Kedrovyy,48.0,RU,2020-01-26 14:57:31,83.0,56.17,91.82,12.52,7.47
66,Castelo Branco,46.0,PT,2020-01-26 14:57:32,62.0,39.82,-7.49,55.99,5.01
67,Santa Maria,40.0,BR,2020-01-26 14:52:34,55.0,-29.68,-53.81,86.0,6.93
68,Ubajara,84.0,BR,2020-01-26 14:57:35,65.0,-3.85,-40.92,82.27,10.85
69,Thompson,20.0,CA,2020-01-26 14:52:47,84.0,55.74,-97.86,-0.4,3.36
70,Hasaki,100.0,JP,2020-01-26 14:57:38,99.0,35.73,140.83,34.0,12.77
71,Huilong,100.0,CN,2020-01-26 14:57:39,95.0,31.81,121.66,46.0,17.34
72,Villa Bruzual,19.0,VE,2020-01-26 14:57:40,33.0,9.33,-69.12,90.82,3.94
73,Coyhaique,81.0,CL,2020-01-26 14:57:42,68.0,-45.58,-72.07,49.5,8.95
74,Phak Hai,100.0,TH,2020-01-26 14:57:43,59.0,14.46,100.37,82.0,9.4
75,Bytow,98.0,PL,2020-01-26 14:57:44,10.0,54.17,17.49,37.0,5.7
76,Aksarka,84.0,RU,2020-01-26 14:57:45,100.0,66.56,67.8,-13.0,4.03
77,Kashgar,100.0,CN,2020-01-26 14:57:47,61.0,39.45,75.98,23.61,1.83
78,Chapais,90.0,CA,2020-01-26 14:57:48,85.0,49.78,-74.85,24.8,10.29
79,Tiksi,0.0,RU,2020-01-26 14:57:49,72.0,71.69,128.87,-31.77,3.65
80,Sioux Lookout,90.0,CA,2020-01-26 14:54:56,92.0,50.1,-91.92,19.4,6.93
81,Dunedin,100.0,NZ,2020-01-26 14:57:52,95.0,-45.87,170.5,55.99,1.01
82,Boyabat,12.0,TR,2020-01-26 14:57:53,65.0,41.47,34.77,32.09,1.41
83,Yenagoa,7.0,NG,2020-01-26 14:57:54,10.0,4.92,6.26,101.17,2.33
84,Yeppoon,100.0,AU,2020-01-26 14:57:56,87.0,-23.13,150.73,74.57,4.61
85,Baykit,71.0,RU,2020-01-26 14:57:57,97.0,61.67,96.37,1.38,3.24
86,Ancud,50.0,CL,2020-01-26 14:57:58,72.0,-41.87,-73.82,59.22,7.36
87,Caravelas,100.0,BR,2020-01-26 14:58:00,84.0,-17.71,-39.25,78.28,11.95
88,Bethel,75.0,US,2020-01-26 14:58:01,86.0,41.37,-73.41,43.0,5.82
89,Katobu,40.0,ID,2020-01-26 14:58:02,89.0,-4.94,122.53,77.56,1.03
90,Half Moon Bay,90.0,US,2020-01-26 14:58:04,100.0,37.46,-122.43,55.99,7.27
91,Solntsevo,11.0,RU,2020-01-26 14:58:05,76.0,51.42,36.75,33.01,8.7
92,Ribeira Grande,86.0,PT,2020-01-26 14:58:06,82.0,38.52,-28.7,58.05,11.27
93,Bonthe,12.0,SL,2020-01-26 14:58:08,53.0,7.53,-12.51,88.18,12.62
94,Kapaa,62.0,US,2020-01-26 14:58:09,59.0,22.08,-159.32,71.01,5.01
95,Simpang,95.0,ID,2020-01-26 14:58:10,94.0,-1.27,104.08,76.48,2.89
96,Provideniya,0.0,RU,2020-01-26 14:58:12,89.0,64.38,-173.3,-6.48,3.4
97,Bredasdorp,0.0,ZA,2020-01-26 14:58:13,40.0,-34.53,20.04,69.8,20.8
98,College,33.0,US,2020-01-26 14:58:14,80.0,64.86,-147.8,-15.0,3.69
99,Garoowe,4.0,SO,2020-01-26 14:58:16,24.0,8.41,48.48,91.15,12.73
100,Bauta,0.0,CU,2020-01-26 14:58:17,65.0,22.98,-82.55,72.27,10.78
101,Tasiilaq,75.0,GL,2020-01-26 14:58:18,53.0,65.61,-37.64,32.0,19.46
102,Narsaq,100.0,GL,2020-01-26 14:58:19,72.0,60.92,-46.05,10.4,4.7
103,Langsa,96.0,ID,2020-01-26 14:58:21,87.0,4.47,97.97,76.48,2.01
104,Haines Junction,99.0,CA,2020-01-26 14:58:22,99.0,60.75,-137.51,-13.94,4.63
105,Bairnsdale,100.0,AU,2020-01-26 14:58:23,79.0,-37.83,147.62,66.0,1.01
106,Nanortalik,100.0,GL,2020-01-26 14:58:25,69.0,60.14,-45.24,21.94,21.63
107,La Plata,19.0,AR,2020-01-26 14:54:50,44.0,-34.92,-57.95,86.0,3.0
108,Arraial do Cabo,0.0,BR,2020-01-26 14:58:27,75.0,-22.97,-42.03,75.2,6.04
109,Chokurdakh,100.0,RU,2020-01-26 14:58:28,96.0,70.63,147.92,-18.56,4.72
110,Almansa,75.0,ES,2020-01-26 14:58:30,66.0,38.87,-1.1,62.01,19.46
111,Ahipara,0.0,NZ,2020-01-26 14:58:31,100.0,-35.17,173.17,63.0,7.31
112,Tessalit,53.0,ML,2020-01-26 14:58:32,6.0,20.2,1.01,90.41,0.96
113,Yaan,0.0,NG,2020-01-26 14:58:34,6.0,7.38,8.57,98.42,7.31
114,Hamilton,90.0,US,2020-01-26 14:55:04,80.0,39.18,-84.53,33.8,4.7
115,Daru,20.0,PG,2020-01-26 14:58:36,89.0,-9.08,143.21,77.49,1.43
116,Comodoro Rivadavia,0.0,AR,2020-01-26 14:58:38,53.0,-45.87,-67.5,58.51,11.41
117,Poum,100.0,NC,2020-01-26 14:58:39,82.0,-20.23,164.02,79.57,23.29
118,Pevek,100.0,RU,2020-01-26 14:58:40,96.0,69.7,170.31,-7.82,1.01
119,Oodweyne,87.0,SO,2020-01-26 14:58:42,67.0,9.41,45.06,70.25,16.58
120,Juegang,100.0,CN,2020-01-26 14:58:43,93.0,32.32,121.19,42.01,3.0
121,Busselton,0.0,AU,2020-01-26 14:53:55,55.0,-33.65,115.33,69.35,12.08
122,Minden,75.0,DE,2020-01-26 14:58:46,81.0,52.28,8.92,43.0,6.93
123,Ust-Kuyga,0.0,RU,2020-01-26 14:58:47,88.0,70.02,135.6,-42.34,8.03
124,Beyla,0.0,GN,2020-01-26 14:58:48,6.0,8.68,-8.63,95.77,7.31
125,Laguna,75.0,US,2020-01-26 14:58:50,100.0,38.42,-121.42,55.99,10.29
126,Tigil,100.0,RU,2020-01-26 14:58:51,76.0,57.8,158.67,21.83,12.88
127,Letterkenny,67.0,IE,2020-01-26 14:55:10,73.0,54.95,-7.73,41.07,6.78
128,Cabo San Lucas,0.0,MX,2020-01-26 14:55:17,89.0,22.89,-109.91,61.0,1.01
129,Hay River,90.0,CA,2020-01-26 14:58:55,92.0,60.82,-115.8,15.8,11.41
130,Wencheng,100.0,CN,2020-01-26 14:58:56,95.0,33.06,113.8,35.15,6.64
131,Bandipur,10.0,NP,2020-01-26 14:58:57,84.0,27.93,84.42,49.26,0.65
132,Kurchum,100.0,KZ,2020-01-26 14:58:59,95.0,48.57,83.65,17.8,3.91
133,Faanui,15.0,PF,2020-01-26 14:59:00,72.0,-16.48,-151.75,82.26,8.61
134,Kaitangata,87.0,NZ,2020-01-26 14:59:01,92.0,-46.28,169.85,56.84,7.18
135,Hohhot,100.0,CN,2020-01-26 14:59:02,60.0,40.81,111.65,14.2,1.14
136,Guerrero Negro,0.0,MX,2020-01-26 14:59:04,89.0,27.98,-114.06,58.5,6.13
137,Mahebourg,75.0,MU,2020-01-26 14:59:05,78.0,-20.41,57.7,78.8,12.75
138,Emba,99.0,KZ,2020-01-26 14:59:06,91.0,48.83,58.14,23.94,22.59
139,Zhangjiakou,95.0,CN,2020-01-26 14:59:08,68.0,40.81,114.88,15.67,2.95
140,Hearst,100.0,CA,2020-01-26 14:59:09,93.0,49.68,-83.67,20.52,8.79
141,Yellowknife,90.0,CA,2020-01-26 14:59:10,92.0,62.46,-114.35,12.2,5.82
